LearnerProfile,LearnerLevel,ExpressionID,FingerprintVersion,Fingerprint,ReviewStatus,ReviewBasis,ReviewedAt,ReviewerType,Evidence
klose,4,KE000067,expression-presentation-v1,b773884caeb84be1e60e624f965c3a6fabe123e46026dfae28fa1930bb53b364,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: What's he like? / function: 询问人物整体特征的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000068,expression-presentation-v1,a00bd0856dc611de9ce102e31fc6bfcbc48703e29a4b3b9eb7ca5e64dc9c432c,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Is he good at football? / function: 询问某人是否擅长某活动的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000069,expression-presentation-v1,3a3af384a53cf9efcb97cd4dc842084ea2df062c8440a2169673896d9d425cca,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: What can you do for the festival? / function: 询问某人能为活动或对象做什么. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000070,expression-presentation-v1,005096abfa2ba6c9751b46d5b56f3dd7d1721074625ba6c97961d95cb7a15515,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: I can make a robot. / function: 表达自己能做什么的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000071,expression-presentation-v1,d3dba4bb233ba6db3f3dd66e472d19d6047b0cd7d2c5a69a9e3fb3db0ce92f5e,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Can you make robots? / function: 用来询问别人是否会做某事；这里不是请求许可。. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000072,expression-presentation-v1,4b92bbb44497e5bef8c4745324d75989f9ac3f806a1dcfdf4caa9f6f3b16b493,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,"Reviewed target: No, I can't. / function: 用来否定回答自己是否会做某事。. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred."
klose,4,KE000073,expression-presentation-v1,2e6c8f6fad55637559ab0a02a1c2481a4fb40a6e027d021d8467000956923dfe,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: What's the matter? / function: 询问对方出了什么情况的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000074,expression-presentation-v1,356d392a886e30610be72f7981aeac600021c4379c864458dc9ad66db1646b44,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: You look sad. / function: 根据对方外观或状态作观察描述的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000075,expression-presentation-v1,f9aae9406f55045c3ee49fbf46369737f9bc463fefadefe4cb8086ec01ecdbc6,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: It's about our school project. / function: 说明事情主题或内容的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000076,expression-presentation-v1,8d2eccb8eb7f6479881301e07cb2a8e5e5ebdf8f96d6205d7c5480e2dcc371e1,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: We have to finish our project by Monday. / function: 表达必须在截止时间前完成某事. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000077,expression-presentation-v1,63eb95c8eedce5b72d8c9a4733657e269cdbd6a5331e3063ef1246bc10450b58,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Why not do both? / function: 提出建议的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000078,expression-presentation-v1,db912aa130ad887a17acf2fcb1dacb9c1ae189e6ba08eb142515d2da538af73b,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: It's important to listen to each other. / function: 说明某行动重要性的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000079,expression-presentation-v1,b2ea5be749e95c1c1c548c3241ae4c6f183fc6f6d6911a7ac752f25aaef4f7ba,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: I need to talk to Mike. / function: 表达自己需要做某事的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000080,expression-presentation-v1,35d251ba5b03068029e57812d4f3b5efd192d008c477ea6c3df56a1a4bb771c5,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: What's your favourite day at school? / function: 用来询问对方最喜欢的对象。. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000081,expression-presentation-v1,d367580ed9598f91248de9454d4cf28ddc6ae6a87d1e5bd359d175fe1b5013a2,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: What do you have on Wednesdays? / function: 询问某天课程安排的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000082,expression-presentation-v1,7417b3c0fac045e69aefcfcecbcc0bcfb86e68f3b7debc6d2706f59d8db4b2c7,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: What do you usually do at the weekend? / function: 用来询问某个时间通常做什么。. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000083,expression-presentation-v1,fa286a2f83de1a9edbec7ee6734281b103e42871bc1d0833bbe5191f090e6f6a,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: I often play football. / function: 表达经常性活动并训练经常做什么. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000084,expression-presentation-v1,47a4a8933d50682b89cd1a71fafc3105c4a877ca2669e166b9ff8158a4dad3c4,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Sometimes I play Chinese chess with my father. / function: 表达偶尔性活动的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000085,expression-presentation-v1,246f7658c71a5c0472b9f82b2b7dc485529db6dde4e1452675bd8960430e005d,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Does your mother work on both Saturdays and Sundays? / function: 用来询问同一活动是否在两个时间都发生。. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000086,expression-presentation-v1,609ef4f8aea57caee7c580b844dc034e776f8b92bce7e3d6dccfea781f3e0a0a,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,"Reviewed target: Yes, she does. / function: 用来肯定回答某人的日常情况。. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred."
klose,4,KE000087,expression-presentation-v1,f58349a7068986f1d6843b992f31c16f61d3cb831b977fa42559695b3ea2f0d7,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: How can we all stay healthy? / function: 询问如何实现目标或采取行动的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000088,expression-presentation-v1,611bd547f45f08f1c2bbed65eeee4438498bf67fa7b0a6aeb3aeb83aba24dd98,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: We should eat healthy food. / function: 提出正向建议的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000089,expression-presentation-v1,d0eb889aba5e4f9b54e57ace40a110de3fcac2a37d674128d42db904ecd1c01c,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: You shouldn't play on a phone so often. / function: 提出不应做某事的负向建议表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000090,expression-presentation-v1,e778efcdf6fdff659fc11249edf3f0b4167b8a3d6143849a1726207abe164ad9,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: What would you like to eat? / function: 询问对方想做什么. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000091,expression-presentation-v1,3a7d3635a3f299a79037ef3ad86a44313bcd974496bc43742932ba4b03889ce6,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,"Reviewed target: Yes, please. / function: 礼貌接受提议或提供的固定回应. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred."
klose,4,KE000092,expression-presentation-v1,a2036b9896ad68888bf7e4d5e2ad2ab10b2cd9f0f7733a783a4b3306b6c5fdf0,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Where does your coconut come from? / function: 询问物品或事物来源. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000093,expression-presentation-v1,310906d0888ef2cc582affe50c86826a56c72cd3fd9b93c468884e90c3134985,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Is there a waterfall in the forest? / function: 询问某处是否存在单数事物. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000094,expression-presentation-v1,e826229a516c1c3518b2e75ad7558a03defe8547accc2845a934a29a0acc3143,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,"Reviewed target: Yes, there is. / function: 用来肯定回答单数事物是否存在。. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred."
klose,4,KE000095,expression-presentation-v1,97ca08b26d61985877fcd3a58f6ca6cf92518943212247520e039fde02ed1408,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Are there any famous mountains in the nature park? / function: 询问某处是否存在复数事物. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000096,expression-presentation-v1,7e071bef7d33b3365b336ccc47580c88a0fc45c35c24191afc83390c91ae976c,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,"Reviewed target: Yes, there are. / function: 用来肯定回答复数事物是否存在。. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred."
klose,4,KE000097,expression-presentation-v1,cb86e6061a88a2cea9c2d82ba394841f19364cdb3be23f95f890420434b0082c,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: There will be heavy rain in the afternoon too. / function: 表达未来某时或某地将出现某事物. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000098,expression-presentation-v1,06b84c6d55075a8b43b1f4ea97869551a449f7e4c724e61855e96dca6bb7ac1b,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: When do you finish class in the morning? / function: 询问日常活动发生时间的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000099,expression-presentation-v1,4f6fe30d583603a17e8a0c39bb6b1be2579656b23a8d02bf72170d7d36072553,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: We finish class at 1 o'clock. / function: 说明日常活动具体发生时间的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000100,expression-presentation-v1,4b8349117d430ebdbf7b7581f3c796a7fe01a131da49c24c12cd0735c0478c8f,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Which season do you like best? / function: 询问某类别中最喜欢哪个对象. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000101,expression-presentation-v1,96c049c95ac66c06bfa5d55d39a49e4076f20db1bc28749b515d0263d37f7e14,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Why? / function: 独立追问原因的表达. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
klose,4,KE000102,expression-presentation-v1,0fa9e5fe4428b28eab1d1c6d53fd6637b5906cc8cc0d3ebadb907f0ba4d881ce,model-reviewed,"Independent semantic review of prompt, hint, target, pattern, usage and examples; source identity unchanged",2026-09-12,model,Reviewed target: Because I like summer vacation! / function: 用 Because 开头说明原因。. Slots and tense agree with the target; equivalent functional answers remain acceptable. KE000137 prompt and KE000147 place slot corrected before review. No human approval or learning outcome inferred.
