SourceOccurrenceKey,Word,CurrentCandidateNoteID,CurrentCandidateSense,ProposedDecision,ProposedNoteID,ProposedTargetSense,ReviewStatus,Confidence,ReviewBasis,Evidence,MergeAuthorized
beijing_start1|g3-upper|r048|may,May,KV000270,五月,reuse,KV000270,五月,model-reviewed,high,source-sequence-overrides-bad-gloss,"The source row is between born and June/fifteenth/fourteenth/How old/July in a month/date block. The XLSX gloss incorrectly gives only modal may; source position and capitalization show May=五月.",no
beijing_start1|g3-lower|r038|may,may,KV000270,五月,new-sense-candidate,,可以；可能（情态动词）,model-reviewed,high,source-sequence+capitalization,"Lowercase may appears in drink / may / tea / sure, consistent with a permission pattern such as May I ...? It must not reuse May=五月.",no
beijing_start1|g3-upper|r055|like,like,KV000051,喜欢,new-sense-candidate,,像；……怎么样（介词/结构用法）,model-reviewed,high,source-sequence,"weather / like / sunny / warm / hot / cool / rainy strongly indicates the weather-like construction, not the verb 喜欢.",no
beijing_start1|g3-lower|r018|square,square,KV000462,广场,new-sense-candidate,,正方形；正方形的,model-reviewed,high,source-sequence,"flag / yellow / watch / from / square / black / shape / round / circle is a shape/color block. square=正方形 must not reuse square=广场.",no
beijing_start1|g4-lower|r034|left,left,KV000654,离开（leave的过去式）,new-sense-candidate,,左边；左侧；向左,model-reviewed,high,source-sequence,"library / floor / building / nearby / beside / station / far / way / then / left is a location/directions block. Directional left must not reuse leave-past left.",no
beijing_start1|g4-upper|r021|cold,cold,KV000176,寒冷的,held,,感冒（待教材上下文确认）,held-source-context-required,medium,source-sequence,"The nearby block contains get well / upset / speak / ... / bad / cold / drink, suggesting illness (possibly bad cold), but the XLSX has no Unit/sentence context. Do not reuse cold=寒冷的 yet.",no
beijing_start1|g4-upper|r026|light,light,KV000062,灯,held,,轻的/灯/光（待教材上下文确认）,held-source-context-required,low,insufficient-source-context,"The XLSX gloss spans noun light/lamp and adjective light=轻的. Nearby easy/door/window/glass/shopping words do not establish the target sense safely.",no
beijing_start1|g5-upper|r019|pass,pass,KV000888,给；递,held,,通过/递给/经过（待教材上下文确认）,held-source-context-required,low,insufficient-source-context,"The source sequence brother / pass / finish / homework / half / late / dirty / ask / join / wash does not identify whether pass means pass an exam, pass something, or pass by. Do not reuse KV000888 automatically.",no
beijing_start1|g5-upper|r034|dress,dress,KV000095,连衣裙,held,,连衣裙/穿衣（待教材上下文确认）,held-source-context-required,low,insufficient-source-context,"The source gloss includes both noun 连衣裙 and verb 穿衣. The surrounding rows do not safely identify the target usage; do not reuse the noun identity automatically.",no
beijing_start1|g3-lower|r016|watch,watch,KV000851,看,reuse,KV000851,看；观看,provisional-model-review,medium,source-sequence,"The surrounding sequence leads into flag/color/shape content and is compatible with the verb watch. The noun 手表 remains possible from the dictionary gloss, so keep this provisional until textbook context is available.",no
