SourceEdition,Semester,Unit,Order,Entry,Meaning,MatchKey,CandidateNoteID,CandidateWord,CandidateSense,MatchType,Decision,ReviewReason
klose-current,上,1,1,PE,体育（课）,pe,KV000285,PE,体育；体育课,exact-surface,reuse,
klose-current,上,1,2,job,工作；职业,job,KV000433,job,工作；职业,exact-surface,reuse,
klose-current,上,1,3,doctor,医生,doctor,KV000425,doctor,医生,exact-surface,reuse,
klose-current,上,1,4,farmer,农场主；农民,farmer,KV000429,farmer,农民,exact-surface,reuse,
klose-current,上,1,5,nurse,护士,nurse,KV000423,nurse,护士,exact-surface,reuse,
klose-current,上,1,6,office worker,公司职员,office worker,KV000614,office,办公室,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,上,1,7,factory worker,工厂工人,factory worker,KV000430,worker,工人,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,上,1,8,busy,忙碌的,busy,KV000466,busy,忙的,exact-surface,review,exact word but target sense/gloss overlap is insufficient
klose-current,上,1,9,tired,疲倦的,tired,KV000583,tired,疲倦的；累的,exact-surface,reuse,
klose-current,上,1,10,chore,家庭杂务,chore,KV000571,chore,家务；杂务,exact-surface,reuse,
klose-current,上,1,11,cook,烹饪；煮,cook,KV000424,cook,厨师；做饭,exact-surface-homograph,review,same textbook surface has multiple target meanings
klose-current,上,1,12,clean,打扫；干净的,clean,,,,new-surface,new,
klose-current,上,1,13,room,房间,room,KV000299,room,房间,exact-surface,reuse,
klose-current,上,1,14,look after,照顾,look after,KV000114,look,看,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,上,1,15,sweep,扫,sweep,,,,new-surface,new,
klose-current,上,1,16,floor,地板；地面,floor,KV000298,floor,楼层；地板,exact-surface,reuse,
klose-current,上,1,17,together,在一起；共同,together,KV000615,together,一起,exact-surface,reuse,
klose-current,上,1,18,people,人；人们,people,KV000435,people,人们,exact-surface,reuse,
klose-current,上,1,19,child,儿童；小孩（复数 children）,child,,,,new-surface,new,
klose-current,上,2,1,his,他的,his,KV000115,his,他的,exact-surface,reuse,
klose-current,上,2,2,strong,强壮的,strong,,,,new-surface,new,
klose-current,上,2,3,hair,头发,hair,KV000217,hair,头发,exact-surface,reuse,
klose-current,上,2,4,also,也,also,KV000561,also,也；还,exact-surface,reuse,
klose-current,上,2,5,kind,友好的,kind,KV000718,kind,种类；类型,exact-surface,review,exact word but target sense/gloss overlap is insufficient
klose-current,上,2,6,quiet,文静的,quiet,KV000522,quiet,安静的；文静的,exact-surface,reuse,
klose-current,上,2,7,best,最好的,best,,,,new-surface,new,
klose-current,上,2,8,read,阅读,read,,,,new-surface,new,
klose-current,上,2,9,Chinese,中文；中国人；中国的,chinese,KV000282,Chinese,汉语；中文,exact-surface,reuse,
klose-current,上,2,10,play,玩耍,play,,,,new-surface,new,
klose-current,上,2,11,game,游戏,game,,,,new-surface,new,
klose-current,上,2,12,football,足球运动,football,,,,new-surface,new,
klose-current,上,2,13,basketball,篮球运动,basketball,KV000345,basketball,篮球,exact-surface,reuse,
klose-current,上,2,14,always,总是,always,KV000363,always,总是,exact-surface,reuse,
klose-current,上,3,1,afternoon,下午,afternoon,KV000231,afternoon,下午,exact-surface,reuse,
klose-current,上,3,2,there,（表示存在或发生）；在那里,there,KV000038,there,那里；有（there be）,exact-surface,reuse,
klose-current,上,3,3,playground,游乐场；操场,playground,KV000295,playground,操场,exact-surface,reuse,
klose-current,上,3,4,park,公园,park,KV000131,park,公园,exact-surface,reuse,
klose-current,上,3,5,over,在……的远端（或对面）,over,,,,new-surface-homograph,review,same textbook surface has multiple target meanings; create separate identities
klose-current,上,3,6,hospital,医院,hospital,KV000132,hospital,医院,exact-surface,reuse,
klose-current,上,3,7,shop,商店,shop,KV000411,shop,商店；购物,exact-surface,reuse,
klose-current,上,3,8,toilet,厕所；卫生间,toilet,KV000294,toilet,厕所；卫生间,exact-surface,reuse,
klose-current,上,3,9,bus stop,公共汽车站,bus stop,KV000420,stop,停；停止,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,上,3,10,library,图书馆,library,KV000293,library,图书馆,exact-surface,reuse,
klose-current,上,3,11,sport,体育运动,sport,,,,new-surface,new,
klose-current,上,3,12,walk,散步；行走,walk,,,,new-surface,new,
klose-current,上,3,13,community,社区,community,,,,new-surface,new,
klose-current,上,3,14,favourite,最喜欢的,favourite,KV000177,favourite,最喜欢的,exact-surface,reuse,
klose-current,上,3,15,place,地方；场所,place,KV000468,place,地方,exact-surface,reuse,
klose-current,上,3,16,photo,照片,photo,,,,new-surface,new,
klose-current,上,3,17,story,故事,story,KV000750,story,故事,exact-surface,reuse,
klose-current,上,3,18,buy,购买,buy,KV000242,buy,买；购买,exact-surface,reuse,
klose-current,上,4,1,firefighter,消防队员,firefighter,,,,new-surface,new,
klose-current,上,4,2,why,为什么,why,KV000552,why,为什么,exact-surface,reuse,
klose-current,上,4,3,driver,司机,driver,,,,new-surface,new,
klose-current,上,4,4,cleaner,清洁工,cleaner,,,,new-surface,new,
klose-current,上,4,5,cook,厨师,cook,KV000424,cook,厨师；做饭,exact-surface-homograph,review,same textbook surface has multiple target meanings
klose-current,上,4,6,delivery worker,快递员,delivery worker,KV000430,worker,工人,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
