NoteID,CanonicalWord,SenseLabel
KV001483,Christmas Eve,圣诞前夜
KV001484,chug,轧轧声；发出轧轧声
KV001485,church,教堂
KV001486,cinema,电影院
KV001487,circle,圆；圆形
KV001488,circus,马戏团；马戏表演
KV001489,clap,拍手；鼓掌
KV001490,clapping game,拍手游戏
KV001491,clean my room,打扫我的房间
KV001492,clear,清楚的；清晰的
KV001493,clerk,职员；办事员
KV001494,climb trees,爬树
KV001495,clown,小丑
KV001496,club,俱乐部；社团
KV001497,coach,教练
KV001498,coal,煤；煤炭
KV001499,cocoon,茧
KV001500,coffee,咖啡
KV001501,coin,硬币
KV001502,coke,可口可乐
KV001503,collar,衣领
KV001504,collect,收集；收集起来
KV001505,college,大学；学院
KV001506,colorful,色彩鲜艳的；丰富多彩的
KV001507,coloured,彩色的；有颜色的
KV001508,colourful,多彩的；色彩丰富的
KV001509,comb,梳子；梳头
KV001510,come back,回来；返回
KV001511,come out,出来；出去
KV001512,come out of,从……出来；出自
KV001513,comfortable,舒适的；舒服的
KV001514,comic,漫画；连环漫画
KV001515,comic book,漫画书
KV001516,company,公司
KV001517,competitor,参赛者；竞争者
KV001518,computer,电脑；计算机
KV001519,computer game,电脑游戏
KV001520,computer lab,电脑教室；机房
KV001521,computer room,计算机教室；电脑室
KV001522,computer studies,计算机课程
KV001523,concert,音乐会
KV001524,conductor,售票员
KV001525,confident,自信的；有信心的
KV001526,cookbook,食谱；烹饪书
KV001527,cookie,饼干
KV001528,corn,玉米
KV001529,corn-on-the-cob,玉米棒；玉米棒子
KV001530,corner,拐角；街角
KV001531,corner kick,角球
KV001532,cornflakes,玉米片
KV001533,correct,正确的；对的
KV001534,cost,费用；花费
KV001535,cotton,棉；棉花
KV001536,count,数；计数
KV001537,count to ten,数到十
KV001538,cover,覆盖；遮盖
KV001539,cowboy,牛仔
KV001540,cowboy hat,牛仔帽
KV001541,craft,工艺；手艺
KV001542,craftsman,工匠；手艺人
KV001543,crash,碰撞；撞车
KV001544,crazy,疯狂的；着迷的
KV001545,crisp,薯片；炸薯片
KV001546,croak,呱呱叫；呱呱叫声
KV001547,crocodile,鳄鱼
KV001548,crop,农作物；庄稼
KV001549,cross,穿过；横过
KV001550,crossing,十字路口；交叉路口
KV001551,crowd,人群
KV001552,crowded,拥挤的
KV001553,crown,王冠
KV001554,crutch,拐杖
KV001555,cucumber,黄瓜
KV001556,culture,文化
KV001557,cup,杯子
KV001558,cupboard,碗柜；食橱
KV001559,curtain,窗帘
KV001560,cushion,垫子；靠垫
KV001561,cut,伤口；割伤
KV001562,cut,切；割
KV001563,cycle,骑自行车
KV001564,cycle helmet,骑行头盔
KV001565,cycling shoes,骑行鞋；自行车运动鞋
KV001566,cyclist,骑自行车的人
KV001567,daddy,爸爸
KV001568,daily,每日的；日常的
KV001569,dancer,舞者；舞蹈演员
KV001570,danger,危险
KV001571,dare,敢；胆敢
KV001572,dark,黑暗的；昏暗的
KV001573,darling,亲爱的；心爱的人
KV001574,date,日期；日子
KV001575,daughter,女儿
KV001576,dead,死的；无生命的
KV001577,decide,决定
KV001578,decorate,装饰；布置
