SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile,CandidateClass,CandidateNoteIDs,CandidateWords,CandidateSenses,AutoDecision,NeedsSenseReview,ReviewReason
beijing_start1|g1-upper|r002|star,beijing_start1,1年级上,1,上,2,star,star,[stɑː(r)],[stɑːr],"n. 星,恒星;明星;星形物 adj. 明星的,主角的;星形的 vt. 用星号标于;由...主演,由...担任主角 vi. 担任主角",北京版一年级起点一年级上.xlsx,exact-single,KV000471,star,星星,reuse-candidate,yes,Exact MatchKey; target sense must still be confirmed before merge.
beijing_start1|g1-upper|r003|moon,beijing_start1,1年级上,1,上,3,moon,moon,[muːn],[muːn],n. 月亮;月球;月光;卫星 vi. 闲荡;出神 vt. 虚度,北京版一年级起点一年级上.xlsx,no-existing-match,,,,new-identity-candidate,yes,No existing MatchKey candidate; confirm this is a genuine new learning unit.
beijing_start1|g1-upper|r004|night,beijing_start1,1年级上,1,上,4,night,night,[naɪt],[naɪt],"n. 夜晚,晚上;黑暗,黑夜 adj. 夜晚的,夜间的",北京版一年级起点一年级上.xlsx,no-existing-match,,,,new-identity-candidate,yes,No existing MatchKey candidate; confirm this is a genuine new learning unit.
beijing_start1|g1-upper|r005|lake,beijing_start1,1年级上,1,上,5,lake,lake,[leɪk],[leɪk],n. 湖;深红色颜料;胭脂红 vt. (使)血球溶解 vi. (使)血球溶解,北京版一年级起点一年级上.xlsx,exact-single,KV000139,lake,湖,reuse-candidate,yes,Exact MatchKey; target sense must still be confirmed before merge.
beijing_start1|g1-upper|r006|house,beijing_start1,1年级上,1,上,6,house,house,[haʊs],[haʊs],n. 住宅;家庭;机构;议会;某种用途的建筑物 vt. 覆盖;给...房子住;把...储藏在房内 vi. 住,北京版一年级起点一年级上.xlsx,exact-single,KV000369,house,房子；住宅,reuse-candidate,yes,Exact MatchKey; target sense must still be confirmed before merge.
beijing_start1|g1-upper|r007|boat,beijing_start1,1年级上,1,上,7,boat,boat,[bəʊt],[boʊt],n. 小船;轮船 vi. 划船,北京版一年级起点一年级上.xlsx,exact-single,KV000138,boat,小船,reuse-candidate,yes,Exact MatchKey; target sense must still be confirmed before merge.
beijing_start1|g1-upper|r008|key,beijing_start1,1年级上,1,上,8,key,key,[kiː],[kiː],n. (打字机等的)键;关键;钥匙 vt. 键入;锁上;调节...的音调;提供线索 vi. 使用钥匙 adj. 关键的,北京版一年级起点一年级上.xlsx,no-existing-match,,,,new-identity-candidate,yes,No existing MatchKey candidate; confirm this is a genuine new learning unit.
beijing_start1|g1-upper|r009|car,beijing_start1,1年级上,1,上,9,car,car,[kɑː(r)],[kɑːr],n. 汽车;车厢,北京版一年级起点一年级上.xlsx,exact-single,KV000072,car,小汽车；汽车,reuse-candidate,yes,Exact MatchKey; target sense must still be confirmed before merge.
beijing_start1|g1-upper|r010|gate,beijing_start1,1年级上,1,上,10,gate,gate,[ɡeɪt],[ɡeɪt],n. 大门;出入口;门道 vt. 给...装大门,北京版一年级起点一年级上.xlsx,exact-single,KV000388,gate,大门,reuse-candidate,yes,Exact MatchKey; target sense must still be confirmed before merge.
beijing_start1|g1-upper|r011|kite,beijing_start1,1年级上,1,上,11,kite,kite,[kaɪt],[kaɪt],n. 风筝 vi. 使用空头支票;像风筝一样飞;轻快地移动 vt. 骗钱;涂改(支票),北京版一年级起点一年级上.xlsx,exact-single,KV000832,kite,风筝,reuse-candidate,yes,Exact MatchKey; target sense must still be confirmed before merge.
