NoteID,ProvisionalIdentityKeys,StageBActions,CanonicalWord,MatchKey,SenseLabel,ThirdPartyIdentityCount,SourceOccurrenceCount,DistinctSourceIDs,ExistingLearnerPresentation,ExistingPresentationStatus,PresentationAction
KV000001,candidate:book,reuse-existing,book,book,书；书本,1,25,20,yes,grade4-reviewed,preserve-existing
KV000002,candidate:ruler,reuse-existing,ruler,ruler,尺子,1,21,19,yes,grade4-reviewed,preserve-existing
KV000003,candidate:pencil,reuse-existing,pencil,pencil,铅笔,1,23,20,yes,grade4-reviewed,preserve-existing
KV000004,candidate:school bag|candidate:schoolbag,reuse-existing,schoolbag,schoolbag,书包,2,19,18,yes,grade4-reviewed,preserve-existing
KV000005,candidate:teacher,reuse-existing,teacher,teacher,老师,1,24,20,yes,grade4-reviewed,preserve-existing
KV000006,candidate:i,reuse-existing,I,i,我,1,18,17,yes,grade4-reviewed,preserve-existing
KV000007,candidate:have,reuse-existing,have,have,有,1,30,17,yes,grade4-reviewed,preserve-existing
KV000010,candidate:face,reuse-existing,face,face,脸；面部,1,20,17,yes,grade4-reviewed,preserve-existing
KV000011,candidate:ear,reuse-existing,ear,ear,耳朵,1,23,19,yes,grade4-reviewed,preserve-existing
KV000012,candidate:eye,reuse-existing,eye,eye,眼睛,1,23,19,yes,grade4-reviewed,preserve-existing
KV000013,candidate:nose,reuse-existing,nose,nose,鼻子,1,23,19,yes,grade4-reviewed,preserve-existing
KV000014,candidate:mouth,reuse-existing,mouth,mouth,嘴；口,1,23,20,yes,grade4-reviewed,preserve-existing
KV000015,candidate:this,reuse-existing,this,this,这；这个,1,19,18,yes,grade4-reviewed,preserve-existing
KV000016,candidate:is,reuse-existing,is,is,是,1,26,18,yes,grade4-reviewed,preserve-existing
KV000017,candidate:my,reuse-existing,my,my,我的,1,20,18,yes,grade4-reviewed,preserve-existing
KV000018,candidate:dog,reuse-existing,dog,dog,狗,1,23,20,yes,grade4-reviewed,preserve-existing
KV000019,candidate:bird,reuse-existing,bird,bird,鸟,1,24,20,yes,grade4-reviewed,preserve-existing
KV000020,candidate:tiger,reuse-existing,tiger,tiger,老虎,1,25,20,yes,grade4-reviewed,preserve-existing
KV000021,candidate:monkey,reuse-existing,monkey,monkey,猴子,1,24,20,yes,grade4-reviewed,preserve-existing
KV000022,candidate:cat,reuse-existing,cat,cat,猫,1,22,19,yes,grade4-reviewed,preserve-existing
KV000023,candidate:what,reuse-existing,what,what,什么,1,21,18,yes,migrated-curated,preserve-existing
KV000024,candidate:it,reuse-existing,it,it,它,1,21,19,yes,grade4-reviewed,preserve-existing
KV000025,candidate:one,reuse-existing,one,one,一；一个,1,24,20,yes,grade4-reviewed,preserve-existing
KV000026,candidate:two,reuse-existing,two,two,二；两个,1,23,20,yes,grade4-reviewed,preserve-existing
KV000027,candidate:three,reuse-existing,three,three,三；三个,1,22,20,yes,grade4-reviewed,preserve-existing
KV000028,candidate:four,reuse-existing,four,four,四；四个,1,22,20,yes,grade4-reviewed,preserve-existing
KV000029,candidate:five,reuse-existing,five,five,五；五个,1,22,20,yes,grade4-reviewed,preserve-existing
KV000030,candidate:six,reuse-existing,six,six,六；六个,1,21,19,yes,grade4-reviewed,preserve-existing
KV000031,candidate:seven,reuse-existing,seven,seven,七；七个,1,22,20,yes,grade4-reviewed,preserve-existing
KV000032,candidate:eight,reuse-existing,eight,eight,八；八个,1,22,20,yes,grade4-reviewed,preserve-existing
KV000033,candidate:nine,reuse-existing,nine,nine,九；九个,1,22,20,yes,grade4-reviewed,preserve-existing
KV000034,candidate:ten,reuse-existing,ten,ten,十；十个,1,21,19,yes,grade4-reviewed,preserve-existing
KV000037,candidate:are,reuse-existing,are,are,是,1,27,18,yes,migrated-curated,preserve-existing
KV000039,candidate:black,reuse-existing,black,black,黑色；黑色的,1,22,20,yes,grade4-reviewed,preserve-existing
KV000040,candidate:yellow,reuse-existing,yellow,yellow,黄色；黄色的,1,22,20,yes,grade4-reviewed,preserve-existing
KV000041,candidate:blue,reuse-existing,blue,blue,蓝色；蓝色的,1,23,20,yes,grade4-reviewed,preserve-existing
KV000042,candidate:red,reuse-existing,red,red,红色；红色的,1,25,20,yes,grade4-reviewed,preserve-existing
KV000043,candidate:green,reuse-existing,green,green,绿色；绿色的,1,24,20,yes,grade4-reviewed,preserve-existing
KV000045,candidate:apple,reuse-existing,apple,apple,苹果,1,23,20,yes,grade4-reviewed,preserve-existing
KV000046,candidate:pear,reuse-existing,pear,pear,梨,1,17,17,yes,grade4-reviewed,preserve-existing
KV000047,candidate:banana,reuse-existing,banana,banana,香蕉,1,23,20,yes,grade4-reviewed,preserve-existing
KV000050,candidate:you,reuse-existing,you,you,你；你们,1,17,17,yes,migrated-curated,preserve-existing
KV000052,candidate:yes,reuse-existing,yes,yes,是的；对,1,18,18,yes,migrated-curated,preserve-existing
KV000053,candidate:no,reuse-existing,no,no,不；不是,1,21,19,yes,migrated-curated,preserve-existing
KV000054,candidate:chair,reuse-existing,chair,chair,椅子,1,23,20,yes,grade4-reviewed,preserve-existing
KV000055,candidate:desk,reuse-existing,desk,desk,课桌；书桌,1,22,19,yes,grade4-reviewed,preserve-existing
KV000056,candidate:blackboard,reuse-existing,blackboard,blackboard,黑板,1,16,15,yes,grade4-reviewed,preserve-existing
KV000057,candidate:on,reuse-existing,on,on,在……上面,1,23,18,yes,grade4-reviewed,preserve-existing
KV000058,candidate:under,reuse-existing,under,under,在……下面,1,19,19,yes,grade4-reviewed,preserve-existing
KV000059,candidate:in,reuse-existing,in,in,在……里面,1,26,18,yes,grade4-reviewed,preserve-existing
KV000060,candidate:where,reuse-existing,where,where,哪里,1,18,18,yes,grade4-reviewed,preserve-existing
KV000063,candidate:bed,reuse-existing,bed,bed,床,1,22,20,yes,grade4-reviewed,preserve-existing
KV000064,candidate:door,reuse-existing,door,door,门,1,22,20,yes,grade4-reviewed,preserve-existing
KV000065,candidate:box,reuse-existing,box,box,盒子；箱子,1,19,17,yes,grade4-reviewed,preserve-existing
KV000067,candidate:behind,reuse-existing,behind,behind,在……后面,1,19,19,yes,grade4-reviewed,preserve-existing
KV000068,candidate:plane,reuse-existing,plane,plane,飞机,1,19,18,yes,grade4-reviewed,preserve-existing
KV000069,candidate:ball,reuse-existing,ball,ball,球,1,22,20,yes,grade4-reviewed,preserve-existing
KV000070,candidate:doll,reuse-existing,doll,doll,玩具娃娃,1,12,10,yes,grade4-reviewed,preserve-existing
KV000071,candidate:train,reuse-existing,train,train,火车,1,20,19,yes,grade4-reviewed,preserve-existing
KV000072,candidate:car,reuse-existing,car,car,小汽车；汽车,1,22,19,yes,grade4-reviewed,preserve-existing
KV000073,candidate:bear,reuse-existing,bear,bear,熊,1,16,16,yes,grade4-reviewed,preserve-existing
KV000074,candidate:can,reuse-existing,can,can,能；会；可以,1,26,18,yes,grade4-reviewed,preserve-existing
KV000076,candidate:sorry,reuse-existing,sorry,sorry,对不起；抱歉,1,18,16,yes,grade4-reviewed,preserve-existing
KV000077,candidate:rice,reuse-existing,rice,rice,米饭,1,23,20,yes,grade4-reviewed,preserve-existing
KV000079,candidate:vegetable,reuse-existing,vegetable,vegetable,蔬菜,1,22,19,yes,grade4-reviewed,preserve-existing
KV000080,candidate:fish#noun,reuse-existing,fish,fish,鱼；鱼肉,1,27,18,yes,grade4-reviewed,preserve-existing
KV000082,candidate:egg,reuse-existing,egg,egg,鸡蛋；蛋,1,23,19,yes,grade4-reviewed,preserve-existing
KV000083,candidate:hungry,reuse-existing,hungry,hungry,饿的；饥饿的,1,19,18,yes,grade4-reviewed,preserve-existing
KV000084,candidate:want,reuse-existing,want,want,想要,1,22,18,yes,grade4-reviewed,preserve-existing
KV000085,candidate:and,reuse-existing,and,and,和；并且,1,20,18,yes,grade4-reviewed,preserve-existing
KV000086,candidate:juice,reuse-existing,juice,juice,果汁,1,23,20,yes,grade4-reviewed,preserve-existing
KV000087,candidate:tea,reuse-existing,tea,tea,茶,1,18,18,yes,grade4-reviewed,preserve-existing
KV000088,candidate:milk,reuse-existing,milk,milk,牛奶,1,24,20,yes,grade4-reviewed,preserve-existing
