NoteID,Class,Released,Stage,LearningOrder,CanonicalWord,Word,MeaningPrimary,British,American,ExampleSentence,ExampleTranslation,PresentationStatus,ContentFingerprint,ReviewNote
KV000158,released-fingerprint-invalidated,yes,stage::grade5-6-current,000366,make a snowman,make a snowman,堆雪人,[ˌmeɪk ə ˈsnəʊmæn],[ˌmeɪk ə ˈsnoʊmæn],Let's make a snowman.,我们来堆雪人吧。,migrated-curated,67409d7ace2cead3fccbf5ce7514d884145939a4d5989fb7bb5f2f270c658439,release-visible content changed after previous review; explicit re-review required
KV000193,released-fingerprint-invalidated,yes,stage::grade5-6-current,000431,eat lunch,eat lunch,吃午饭,[ˌiːt ˈlʌntʃ],[ˌiːt ˈlʌntʃ],I eat lunch with my classmates at school.,我在学校和同学们一起吃午饭。,grade4-reviewed,96848e02b4986efa6326ea4c085771c37fa35e55e049535a168b5011e09f9da8,release-visible content changed after previous review; explicit re-review required
KV000195,released-fingerprint-invalidated,yes,stage::grade5-6-current,000342,eat dinner,eat dinner,吃晚饭,[ˌiːt ˈdɪnə(r)],[ˌiːt ˈdɪnər],My family eats dinner at home every evening.,我们一家每天晚上在家吃晚饭。,grade4-reviewed,49a9ea4cfa9fb865f84b859d668e3d1c4f0452bffe241b895188c03bffab8e07,release-visible content changed after previous review; explicit re-review required
KV000303,released-fingerprint-invalidated,yes,stage::grade5-6-current,000340,play sports,play sports,做运动；参加体育活动,[ˌpleɪ ˈspɔːts],[ˌpleɪ ˈspɔːrts],We play sports after school.,我们放学后做运动。,migrated-curated,c1835716c642cfada78d210bc22dd875feeb16885e8418b033fd266e62010185,release-visible content changed after previous review; explicit re-review required
KV000307,released-fingerprint-invalidated,yes,stage::grade5-6-current,000432,read books,read books,读书；看书,[ˌriːd ˈbʊks],[ˌriːd ˈbʊks],I often read books in the library after school.,我放学后经常在图书馆看书。,grade4-reviewed,366ad5c38d4d5e37573527e44342d72cf0aa2001ece3681e51cd983465d5229c,release-visible content changed after previous review; explicit re-review required
KV000327,released-fingerprint-invalidated,yes,stage::grade5-6-current,000433,listening to music,listening to music,正在听音乐,[ˌlɪsənɪŋ tə ˈmjuːzɪk],[ˌlɪsənɪŋ tə ˈmjuːzɪk],I am listening to music.,我正在听音乐。,migrated-curated,c89dae857d8e741487694246bfe733ff59c6e3f0767f8290221f6e3c9ff61b59,release-visible content changed after previous review; explicit re-review required
KV000359,released-fingerprint-invalidated,yes,stage::grade5-6-current,000603,go fishing,go fishing,去钓鱼,[ˌɡəʊ ˈfɪʃɪŋ],[ˌɡoʊ ˈfɪʃɪŋ],Dad and I go fishing on Sunday morning.,星期日早上爸爸和我去钓鱼。,grade4-reviewed,6696f0cd2a961e96f3dcef3ba84e4ecca8e82df642c9d5db01fa8eb958efff28,release-visible content changed after previous review; explicit re-review required
KV000483,released-fingerprint-invalidated,yes,stage::grade5-6-current,000394,the Great Wall,the Great Wall,长城,[ðə ˌɡreɪt ˈwɔːl],[ðə ˌɡreɪt ˈwɔːl],The Great Wall is in China.,长城在中国。,grade4-reviewed,e90893977fa81b053e6f594e7d11ad3fbde2708b9f3ed07ae1d0f447b75a71b0,release-visible content changed after previous review; explicit re-review required
KV000500,released-fingerprint-invalidated,yes,stage::grade5-6-current,000601,go camping,go camping,去露营,[ˌɡəʊ ˈkæmpɪŋ],[ˌɡoʊ ˈkæmpɪŋ],We go camping in summer.,我们夏天去露营。,migrated-curated,da0986f229e2524e76f2d2baed2e92cc732a8a20dcfedcbd5da2655e9f564b74,release-visible content changed after previous review; explicit re-review required
KV000519,grade5-6-reused-unreleased,no,stage::grade5-6-current,000226,clever,clever,聪明的,[ˈklevə(r)],[ˈklevər],She is clever and helpful.,她聪明又乐于助人。,migrated-curated,0f2f7f368c5257c9c0ca88428d292e8be66dba25e6a22d9dbc1b62bb7bcd3e36,awaiting explicit learner-level review before release
KV000525,grade5-6-reused-unreleased,no,stage::grade5-6-current,000623,active,active,活跃的；积极的,[ˈæktɪv],[ˈæktɪv],She is active in class.,她在课堂上很活跃。,migrated-curated,5e097899ae33333f81583bfa303a6deeb4248c6119cd963d7b4f57d0f6bddb87,awaiting explicit learner-level review before release
KV000528,grade5-6-reused-unreleased,no,stage::grade5-6-current,000369,all,all,全部；所有,[ɔːl],[ɔːl],All the children are here.,所有孩子都在这里。,migrated-curated,77bba06224c6051aaad748902128d288fdd4544668570845d20b7ef002791abb,awaiting explicit learner-level review before release
KV000530,grade5-6-reused-unreleased,no,stage::grade5-6-current,000266,sometimes,sometimes,有时,[ˈsʌmtaɪmz],[ˈsʌmtaɪmz],I sometimes go to the library.,我有时去图书馆。,migrated-curated,ca7767eee5548fb2a97302128c048f20b32ded9dbefc8bf15baaf770ac87554d,awaiting explicit learner-level review before release
KV000539,grade5-6-reused-unreleased,no,stage::grade5-6-current,000227,young,young,年轻的,[jʌŋ],[jʌŋ],Our English teacher is young.,我们的英语老师很年轻。,migrated-curated,29419bd3d28b44924119fb5a2fb1f022b3ae1a0cdabc369999763c2bdb2d0d1c,awaiting explicit learner-level review before release
KV000553,grade5-6-reused-unreleased,no,stage::grade5-6-current,000225,lovely,lovely,可爱的；讨人喜欢的,[ˈlʌvli],[ˈlʌvli],The little panda is lovely.,小熊猫很可爱。,migrated-curated,58b01f914e64f534392f6e1e97f14b55320c14cd781a217ba7151bbe4a11c6e7,awaiting explicit learner-level review before release
KV000566,grade5-6-reused-unreleased,no,stage::grade5-6-current,000238,wonderful,wonderful,精彩的；极好的,[ˈwʌndəf(ə)l],[ˈwʌndərf(ə)l],The cartoon is wonderful.,这部动画片很精彩。,migrated-curated,65136a4187bfbf92f249dda1c5159d4dbad99b20eaad1066a27aa2dd0ac0bd64,awaiting explicit learner-level review before release
KV000572,grade5-6-reused-unreleased,no,stage::grade5-6-current,000343,clean the room,clean the room,打扫房间,,,I clean the room on Saturday.,我星期六打扫房间。,migrated-curated,3c4814f30c887280ec2cd98eecc1641404d79e641457c70ae80b9624648f2b2e,awaiting explicit learner-level review before release
KV000578,grade5-6-reused-unreleased,no,stage::grade5-6-current,000509,call,call,打电话；呼叫,[kɔːl],[kɔːl],I call my grandmother on Sunday.,我星期日给奶奶打电话。,migrated-curated,2940541b0e208447d028a0f8599181fa6376d95e5c881d854024e66d75c95654,awaiting explicit learner-level review before release
KV000582,grade5-6-reused-unreleased,no,stage::grade5-6-current,000279,exercise,exercise,锻炼；运动,[ˈeksəsaɪz],[ˈeksərsaɪz],We need exercise every day.,我们每天都需要锻炼。,migrated-curated,5990ab4b2a793b07eb8b6bb6f12587b36ec3c37a806b43c9925f84d540a8e1c2,awaiting explicit learner-level review before release
