NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001195,Leo won the 100-meter race.,利奥赢得了100米赛跑。,model-curated,third-party-learner-content-v1
KV001196,My birthday is on the 20th.,我的生日在20日。,model-curated,third-party-learner-content-v1
KV001197,The school show is on the 21st.,学校演出在21日。,model-curated,third-party-learner-content-v1
KV001198,We will leave on the 22nd.,我们将在22日出发。,model-curated,third-party-learner-content-v1
KV001199,The game is on the 23rd.,比赛在23日。,model-curated,third-party-learner-content-v1
KV001200,Our classroom is on the 2nd floor.,我们的教室在二楼。,model-curated,third-party-learner-content-v1
KV001201,The trip starts on the 30th.,旅行在30日开始。,model-curated,third-party-learner-content-v1
KV001202,The month ends on the 31st.,这个月在31日结束。,model-curated,third-party-learner-content-v1
KV001203,She came 3rd in the race.,她在比赛中得了第三名。,model-curated,third-party-learner-content-v1
KV001204,This is my 4th visit here.,这是我第四次来这里。,model-curated,third-party-learner-content-v1
KV001205,I am a bit tired today.,我今天有点儿累。,model-curated,third-party-learner-content-v1
KV001206,There is a knife and fork on the table.,桌上有一副刀叉。,model-curated,third-party-learner-content-v1
KV001207,Dad bought a liter of milk.,爸爸买了一升牛奶。,model-curated,third-party-learner-content-v1
KV001208,There is a little water in the cup.,杯子里有一点水。,model-curated,third-party-learner-content-v1
KV001209,A long time ago people lived here.,很久以前人们住在这里。,model-curated,third-party-learner-content-v1
KV001210,I need a pair of socks.,我需要一双袜子。,model-curated,third-party-learner-content-v1
KV001211,May I have a piece of cake?,我可以吃一块蛋糕吗？,model-curated,third-party-learner-content-v1
KV001212,She has the ability to learn quickly.,她有快速学习的能力。,model-curated,third-party-learner-content-v1
KV001213,He is able to swim now.,他现在会游泳了。,model-curated,third-party-learner-content-v1
KV001214,All the children are aboard the train.,所有孩子都在火车上。,model-curated,third-party-learner-content-v1
KV001215,This book is about animals.,这本书是关于动物的。,model-curated,third-party-learner-content-v1
KV001216,The clock is above the door.,钟在门的上方。,model-curated,third-party-learner-content-v1
KV001217,My uncle works abroad.,我叔叔在国外工作。,model-curated,third-party-learner-content-v1
KV001218,Tom is absent from school today.,汤姆今天没来上学。,model-curated,third-party-learner-content-v1
KV001219,No one was hurt in the accident.,这次事故中没有人受伤。,model-curated,third-party-learner-content-v1
KV001220,We walked across the bridge.,我们走过了这座桥。,model-curated,third-party-learner-content-v1
KV001221,Drawing is my favorite activity.,画画是我最喜欢的活动。,model-curated,third-party-learner-content-v1
KV001222,The actor smiled at the children.,那位男演员对孩子们微笑。,model-curated,third-party-learner-content-v1
KV001223,Please write your address here.,请把你的地址写在这里。,model-curated,third-party-learner-content-v1
KV001224,An adult helped the little boy.,一位成年人帮助了那个小男孩。,model-curated,third-party-learner-content-v1
KV001225,Camping in the forest was an adventure.,在森林里露营是一次冒险经历。,model-curated,third-party-learner-content-v1
KV001226,I saw an advertisement for a new bike.,我看到了一则新自行车的广告。,model-curated,third-party-learner-content-v1
KV001227,The aeroplane is flying above the clouds.,飞机正在云层上方飞行。,model-curated,third-party-learner-content-v1
KV001228,My little sister is afraid of dogs.,我的妹妹害怕狗。,model-curated,third-party-learner-content-v1
KV001229,Please say the word again.,请把这个词再说一遍。,model-curated,third-party-learner-content-v1
KV001230,Walk straight ahead.,一直向前走。,model-curated,third-party-learner-content-v1
KV001231,Plants need clean air.,植物需要清新的空气。,model-curated,third-party-learner-content-v1
KV001232,Our classroom is air-conditioned.,我们的教室有空调。,model-curated,third-party-learner-content-v1
KV001233,The airplane landed safely.,飞机安全降落了。,model-curated,third-party-learner-content-v1
KV001234,My alarm clock rings at seven.,我的闹钟七点响。,model-curated,third-party-learner-content-v1
KV001235,Alaska is in the United States.,阿拉斯加州在美国。,model-curated,third-party-learner-content-v1
KV001236,The fish is still alive.,这条鱼还活着。,model-curated,third-party-learner-content-v1
KV001237,We looked all around for the ball.,我们四处寻找那个球。,model-curated,third-party-learner-content-v1
KV001238,It rained all day.,雨下了一整天。,model-curated,third-party-learner-content-v1
KV001239,People all over the world enjoy music.,世界各地的人们都喜欢音乐。,model-curated,third-party-learner-content-v1
KV001240,He talks about football all the time.,他总是谈论足球。,model-curated,third-party-learner-content-v1
KV001241,This shop is open all year round.,这家商店全年营业。,model-curated,third-party-learner-content-v1
KV001242,We are almost home.,我们快到家了。,model-curated,third-party-learner-content-v1
KV001243,She walked home alone.,她独自走回家。,model-curated,third-party-learner-content-v1
KV001244,We walked along the river.,我们沿着河边走。,model-curated,third-party-learner-content-v1
KV001245,Please read the story aloud.,请大声朗读这个故事。,model-curated,third-party-learner-content-v1
KV001246,There are twenty-six letters in the English alphabet.,英文字母表有二十六个字母。,model-curated,third-party-learner-content-v1
KV001247,I have already finished my homework.,我已经完成作业了。,model-curated,third-party-learner-content-v1
KV001248,Everything will be alright.,一切都会没问题的。,model-curated,third-party-learner-content-v1
KV001249,I am happy today.,我今天很开心。,model-curated,third-party-learner-content-v1
