NoteID,ReleasedAt,ReleaseReason
KV000001,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000002,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000003,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000004,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000005,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000006,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000007,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000008,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000009,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000010,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000011,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000012,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000013,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000014,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000015,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000016,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000017,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000018,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000019,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000020,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000021,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000022,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000023,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000024,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000025,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000026,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000027,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000028,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000029,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000030,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000031,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000032,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
KV000033,2026-09-04,"scope:rj_start1:grades=1,2,3,4"
