NoteID,ExampleSentence,ExampleTranslation
KV000039,My black schoolbag is under the desk.,我的黑色书包在课桌下面。
KV000040,The yellow ruler is next to my pencil.,黄色尺子在我的铅笔旁边。
KV000041,I put the blue book in my schoolbag.,我把蓝色的书放进书包里。
KV000042,The red apple is on my desk.,红苹果在我的课桌上。
KV000043,My green pencil is in the box.,我的绿色铅笔在盒子里。
KV000054,My schoolbag is under the chair.,我的书包在椅子下面。
KV000055,I put my books on the desk after class.,下课后我把书放在课桌上。
KV000056,There are some English words on the blackboard.,黑板上有一些英文单词。
KV000057,My English book is on the desk.,我的英语书在课桌上。
KV000058,The cat is sleeping under the chair.,猫正在椅子下面睡觉。
KV000059,There are three pencils in the box.,盒子里有三支铅笔。
KV000060,Where is the book I put on the desk?,我放在课桌上的那本书在哪里？
KV000061,The teacher is reading a book to us.,老师正在给我们读一本书。
KV000062,Please turn off the light before you leave.,离开前请关灯。
KV000063,I read a book on my bed after school.,放学后我在床上读书。
KV000064,Please close the door before class.,上课前请把门关上。
KV000065,I keep my pencils in this box.,我把铅笔放在这个盒子里。
KV000066,There is a small park near my school.,我的学校附近有一个小公园。
KV000067,The cat is hiding behind the door.,猫正躲在门后面。
KV000075,Are you sure this is your book?,你确定这是你的书吗？
KV000076,I'm sorry I'm late for class.,对不起，我上课迟到了。
KV000083,I am hungry after school.,放学后我饿了。
KV000084,I want to read this book after dinner.,晚饭后我想读这本书。
KV000086,I usually have orange juice at breakfast.,我早餐通常喝橙汁。
KV000087,My grandfather has tea after lunch.,我爷爷午饭后喝茶。
KV000089,I always take some water to school.,我总会带些水去学校。
KV000090,I am thirsty after PE class.,体育课后我口渴了。
KV000096,I can't find my blue socks this morning.,今天早上我找不到我的蓝色袜子。
KV000097,I wear shorts when it is hot.,天气热的时候我穿短裤。
KV000098,Is this your ruler or mine?,这是你的尺子还是我的？
KV000099,My father usually drives me to school.,我爸爸通常开车送我上学。
KV000100,My mother likes reading after dinner.,我妈妈喜欢晚饭后读书。
KV000101,My brother and I play basketball after school.,我和哥哥（弟弟）放学后打篮球。
KV000102,My sister is drawing a picture in her room.,我姐姐（妹妹）正在房间里画画。
KV000103,My grandmother reads with me before bed.,我奶奶（外婆）睡前和我一起读书。
KV000104,My grandfather walks in the park every morning.,我爷爷（外公）每天早上在公园散步。
KV000105,Who is the boy standing by the door?,站在门边的那个男孩是谁？
KV000106,He usually goes to school by bus.,他通常坐公交车上学。
KV000107,She likes reading books after school.,她喜欢放学后读书。
KV000108,My classmate and I play basketball after school.,我和同班同学放学后打篮球。
KV000109,My friend and I read books after school.,我和朋友放学后一起读书。
KV000110,The woman near the door is our teacher.,门边的那位女士是我们的老师。
KV000111,The girl in the blue dress is my classmate.,穿蓝色连衣裙的女孩是我的同班同学。
KV000112,The man near the school is my father.,学校附近的那个男人是我爸爸。
KV000113,The boy with the red schoolbag is my friend.,背红色书包的男孩是我的朋友。
KV000114,Look at the words on the blackboard.,看黑板上的单词。
KV000115,His schoolbag is under the desk.,他的书包在课桌下面。
KV000116,Her name is on the first page of the book.,她的名字在书的第一页上。
KV000117,Her blue pencil is on my desk.,她的蓝色铅笔在我的课桌上。
KV000119,Our school is big and has many classrooms.,我们学校很大，有很多教室。
KV000120,My father is taller than my mother.,我爸爸比我妈妈高。
KV000121,She looks pretty in that red dress.,她穿那条红色连衣裙很好看。
KV000122,My brother is tall and thin.,我哥哥（弟弟）又高又瘦。
KV000123,This ruler is too short for the desk.,这把尺子对这张课桌来说太短了。
KV000124,My uncle looks handsome in his new shirt.,我叔叔穿新衬衫看起来很帅。
KV000127,There is a small bookshop near our school.,我们学校附近有一家小书店。
KV000128,We can see tigers and monkeys at the zoo.,我们在动物园能看到老虎和猴子。
KV000129,I walk to school with my friend every day.,我每天和朋友一起走路上学。
KV000130,There is a supermarket near my home.,我家附近有一家超市。
KV000131,We play football in the park after school.,我们放学后在公园踢足球。
KV000132,The hospital is near the supermarket.,医院在超市附近。
KV000135,Please don't walk on the grass.,请不要踩草地。
KV000136,A bird is sitting in the tall tree.,一只鸟正停在那棵高树上。
KV000137,There are many flowers near the lake.,湖边有很多花。
KV000138,We can see a small boat on the lake.,我们能看到湖上有一条小船。
KV000139,We walked around the lake after lunch.,午饭后我们绕着湖散步。
KV000140,We climbed the hill on Sunday morning.,星期日早上我们爬了小山。
KV000142,Father Christmas puts presents under the tree.,圣诞老人把礼物放在树下。
KV000143,We put cards and presents under the Christmas tree.,我们把贺卡和礼物放在圣诞树下。
KV000144,I made a birthday card for my friend.,我给朋友做了一张生日贺卡。
KV000145,I opened my birthday present after dinner.,晚饭后我打开了生日礼物。
KV000149,Come here and look at this picture.,到这里来看看这张图片。
KV000150,I made this card for my mother.,我为妈妈做了这张卡片。
