SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
waiyan_start3|g3-upper|r002|i,waiyan_start3,3年级上,3,上,2,I,i,[aɪ],[aɪ],n. 碘元素;英语字母I pron. 我,外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r003|am,waiyan_start3,3年级上,3,上,3,am,am,[əm; æm],[əm; æm],abbr. 调幅 v. 是,外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r004|i'm,waiyan_start3,3年级上,3,上,4,I'm,i'm,,,abbr. 我是(缩写),外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r005|i am,waiyan_start3,3年级上,3,上,5,I am,i am,,,我是;这就是我;唯我是问,外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r006|aah,waiyan_start3,3年级上,3,上,6,aah,aah,[ɑː],['e 'e 'etʃ],先进攻击直升机(Advanced Attack Helicopter);不典型增生改变;美国催眠治疗师学会(American Institute of Hypnotherapy),外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r007|hello,waiyan_start3,3年级上,3,上,7,hello,hello,[həˈləʊ],[həˈləʊ],"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r008|hi,waiyan_start3,3年级上,3,上,8,hi,hi,[haɪ],[haɪ],int. 嗨!(表示问候或用以唤起注意),外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r009|ooh,waiyan_start3,3年级上,3,上,9,ooh,ooh,[uː],[uː],int. (表示惊异、热心、高兴或不悦的叫声)哦!,外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r010|goodbye,waiyan_start3,3年级上,3,上,10,goodbye,goodbye,[ˌɡʊdˈbaɪ],[ˌɡʊdˈbaɪ],int. 再见 放弃 告别,外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r011|bye-bye,waiyan_start3,3年级上,3,上,11,bye-bye,bye-bye,"['baibai, ,bai'bai]",[baɪ baɪ],int. 再见 轮空晋级,外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r012|are,waiyan_start3,3年级上,3,上,12,are,are,[ɑ:(r)],[ər; ɑːr; er],v. 是(be的第二人称单复数现在式) n. 公亩,外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r013|how are you?,waiyan_start3,3年级上,3,上,13,How are you?,how are you?,[haʊ ɑr ju],[haʊ ɑr ju],你身体好吗?,外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r014|good,waiyan_start3,3年级上,3,上,14,good,good,[ɡʊd],[ɡʊd],n. 好处;善行;慷慨的行为 adj. 好的;优良的;愉快的;虔诚的 adv. 好,外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r015|morning,waiyan_start3,3年级上,3,上,15,morning,morning,[ˈmɔːnɪŋ],[ˈmɔːrnɪŋ],n. 早晨;黎明;初期,外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r016|fine,waiyan_start3,3年级上,3,上,16,fine,fine,[faɪn],[faɪn],"n. 罚款 adj. 好的;优良的;细小的,精美的;健康的;晴朗的 vt. 罚款;澄清 adv. 很好地;精巧地",外研版三年级起点三年级上.xlsx
waiyan_start3|g3-upper|r017|thank,waiyan_start3,3年级上,3,上,17,thank,thank,[θæŋk],[θæŋk],n. 感谢 vt. 感谢 int. 谢谢,外研版三年级起点三年级上.xlsx
