Word,MeaningPrimary,ExampleSentence,ExampleTranslation
running,跑步,I like running after school.,我喜欢放学后跑步。
basketball,篮球,I play basketball after school.,我放学后打篮球。
roller skating,轮滑；滑旱冰,I like roller skating.,我喜欢轮滑。
jumping rope,跳绳,She is good at jumping rope.,她擅长跳绳。
ping-pong,乒乓球,We play ping-pong after school.,我们放学后打乒乓球。
What about ...?,……怎么样？,What about basketball?,篮球怎么样？
interesting,有趣的,This book is interesting.,这本书很有趣。
often,经常；常常,I often play basketball.,我经常打篮球。
be good at,擅长,He is good at swimming.,他擅长游泳。
late,迟到的；晚的,Don't be late for school.,上学不要迟到。
visit one's grandparents,看望祖父母或外祖父母,I visit my grandparents on Sunday.,我星期日去看望祖父母。
go to a drawing club,参加绘画俱乐部,I go to a drawing club.,我参加绘画俱乐部。
climb a hill,爬山；爬小山,We climb a hill on Sunday.,我们星期日爬山。
pick fruit,摘水果,We pick fruit in autumn.,我们秋天摘水果。
play computer games,玩电脑游戏,I play computer games on Saturday.,我星期六玩电脑游戏。
go fishing,去钓鱼,Dad and I go fishing.,爸爸和我去钓鱼。
go to the cinema,去电影院；看电影,We go to the cinema.,我们去电影院看电影。
on the weekend,在周末,I play sports on the weekend.,我周末做运动。
fun,乐趣；有趣,Roller skating is fun.,轮滑很有趣。
always,总是,I always get up early.,我总是早起。
step,步；台阶,Watch your step.,小心脚下。
paint,油漆；给……刷漆,They paint the house.,他们给房子刷漆。
evening,晚上,I read books in the evening.,我晚上读书。
dirty,脏的,My shoes are dirty.,我的鞋脏了。
their,他们的；她们的；它们的,Their house is near the park.,他们的房子在公园附近。
house,房子；住宅,Their house is beautiful.,他们的房子很漂亮。
poor,贫穷的；可怜的,The poor family needs help.,这个贫困家庭需要帮助。
hope,希望,I hope you are happy.,我希望你开心。
so,所以；因此,It is rainy so we stay home.,下雨了，所以我们待在家里。
day,天；一天,Have a nice day.,祝你今天愉快。
usually,通常,I usually go by bus.,我通常乘公交车去。
by bus,乘公交车,I go to school by bus.,我乘公交车上学。
by boat,乘小船；乘船,We go there by boat.,我们乘小船去那里。
by ship,乘轮船；乘船,They travel by ship.,他们乘船旅行。
by car,乘汽车,We go there by car.,我们乘汽车去那里。
by taxi,乘出租车,We go to the hotel by taxi.,我们乘出租车去酒店。
by bike,骑自行车,I go to school by bike.,我骑自行车上学。
on foot,步行,I go to school on foot.,我步行上学。
by school bus,乘校车,She goes to school by school bus.,她乘校车上学。
by subway,乘地铁,We go downtown by subway.,我们乘地铁去市中心。
by plane,乘飞机,They travel by plane.,他们乘飞机旅行。
by train,乘火车,We go there by train.,我们乘火车去那里。
garden,花园,There are flowers in the garden.,花园里有花。
meeting place,集合地点,The gate is our meeting place.,大门是我们的集合地点。
gate,大门,Wait for me at the gate.,在大门口等我。
transportation,交通；交通方式,What transportation do you use?,你使用什么交通方式？
film,电影,This film is interesting.,这部电影很有趣。
earth,地球,The earth is our home.,地球是我们的家园。
snow,雪,There is snow in winter.,冬天有雪。
theatre,剧院,Let's go to the theatre.,我们去剧院吧。
come,来,Come to my house.,来我家吧。
enjoy,喜欢；享受,I enjoy this film.,我喜欢这部电影。
pen,钢笔,I write with a pen.,我用钢笔写字。
knife,刀,Be careful with the knife.,使用刀时要小心。
eraser,橡皮,I need an eraser.,我需要一块橡皮。
crayon,蜡笔,I draw with crayons.,我用蜡笔画画。
scissors,剪刀,Be careful with the scissors.,使用剪刀时要小心。
glue stick,胶棒,I need a glue stick.,我需要一支胶棒。
paper,纸,I draw on the paper.,我在纸上画画。
use,使用,Can I use your pen?,我可以用你的钢笔吗？
please,请,Please give me the paper.,请把纸给我。
find,找到；发现,I can't find my pen.,我找不到我的钢笔。
Information Centre,信息中心,Let's ask at the Information Centre.,我们去信息中心问问。
Excuse me,劳驾；对不起,Excuse me where is the bank?,请问银行在哪里？
phone,电话；打电话,I call Dad on the phone.,我给爸爸打电话。
dad,爸爸,My dad is a doctor.,我爸爸是医生。
hamburger,汉堡包,I want a hamburger.,我想要一个汉堡包。
shop,商店；购物,This shop sells books.,这家商店卖书。
climb on the window ledge,爬上窗台,Don't climb on the window ledge.,不要爬窗台。
dangerous,危险的,Playing with fire is dangerous.,玩火很危险。
play with fire,玩火,Don't play with fire.,不要玩火。
Be careful!,小心！,Be careful on the stairs!,在楼梯上要小心！
run down the stairs,跑下楼梯,Don't run down the stairs.,不要跑下楼梯。
sidewalk,人行道,Walk on the sidewalk.,在人行道上走。
wait for,等待,Wait for the green light.,等绿灯。
safe,安全的,It is safe to wait here.,在这里等是安全的。
stop,停；停止,Stop at the red light.,红灯时停下来。
street,街道,Don't run in the street.,不要在街道上跑。
safety rule,安全规则,Follow the safety rules.,遵守安全规则。
nurse,护士,The nurse helps sick people.,护士帮助病人。
cook,厨师；做饭,My uncle is a cook.,我叔叔是一名厨师。
doctor,医生,The doctor helps sick people.,医生帮助病人。
bus driver,公交车司机,The bus driver drives a bus.,公交车司机开公交车。
police officer,警察；警官,The police officer helps people.,警察帮助人们。
taxi driver,出租车司机,My father is a taxi driver.,我爸爸是出租车司机。
farmer,农民,The farmer works on a farm.,农民在农场工作。
worker,工人,The worker works hard.,工人努力工作。
in the future,将来；未来,I want to be a doctor in the future.,我将来想当医生。
great,很棒的；伟大的,That is a great job.,那是一份很棒的工作。
job,工作；职业,What is your father's job?,你爸爸做什么工作？
sick,生病的,The doctor helps sick people.,医生帮助病人。
people,人们,Many people live in the city.,许多人住在城市里。
teach,教,Teachers teach children.,老师教孩子们。
just,只是；仅仅,I just want to help.,我只是想帮忙。
myself,我自己,I can do it myself.,我可以自己做。
sound,听起来；声音,That sounds great.,那听起来很棒。
