NoteID,CanonicalWord,British,American,ReviewStatus,ReviewerType,ReviewNote
KV000940,take care of,[ˌteɪk ˈkeə(r) əv],[ˌteɪk ˈker əv],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000952,stem,[stem],[stem],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000970,flood,[flʌd],[flʌd],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000972,go hiking,[ɡəʊ ˈhaɪkɪŋ],[ɡoʊ ˈhaɪkɪŋ],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000973,do morning exercises,[ˌduː ˈmɔːnɪŋ ˈeksəsaɪzɪz],[ˌduː ˈmɔːrnɪŋ ˈeksərsaɪzɪz],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000975,go for a walk,[ˌɡəʊ fər ə ˈwɔːk],[ˌɡoʊ fər ə ˈwɔːk],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000976,go shopping,[ɡəʊ ˈʃɒpɪŋ],[ɡoʊ ˈʃɑːpɪŋ],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000978,take a dancing class,[ˌteɪk ə ˈdɑːnsɪŋ klɑːs],[ˌteɪk ə ˈdænsɪŋ klæs],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000989,go swimming,[ɡəʊ ˈswɪmɪŋ],[ɡoʊ ˈswɪmɪŋ],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000991,go on a picnic,[ˌɡəʊ ɒn ə ˈpɪknɪk],[ˌɡoʊ ɑːn ə ˈpɪknɪk],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000992,pick apples,[ˌpɪk ˈæpəlz],[ˌpɪk ˈæpəlz],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000997,a few,[ə ˈfjuː],[ə ˈfjuː],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV000998,sports meet,[ˈspɔːts miːt],[ˈspɔːrts miːt],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001001,Labour Day,[ˈleɪbə deɪ],[ˈleɪbər deɪ],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001003,riddle,[ˈrɪdəl],[ˈrɪdəl],model-reviewed,model,model-curated IPA; exact repo source unavailable
