MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,Contexts,TokenCount,RiskSignals,CandidateType,CandidateRoute,RelatedMatchKeys,ReviewStatus,Rationale,KloseMergeAuthorized
10th,10th,无,5年级下,1,5年级下@r33: [5th / tenth / <10th> / twelfth / 12th],1,missing-or-empty-gloss|numeric-ordinal-form,ordinal-format-alias-review,identity-alias-review,tenth,pending,"Numeric ordinal spelling is a form/alias candidate, not automatically a new learning unit.",no
12th,12th,无,5年级下,1,5年级下@r35: [10th / twelfth / <12th> / twenty-fifth / 25th],1,missing-or-empty-gloss|numeric-ordinal-form,ordinal-format-alias-review,identity-alias-review,twelfth,pending,"Numeric ordinal spelling is a form/alias candidate, not automatically a new learning unit.",no
15th,15th,无,5年级下,1,5年级下@r94: [learned to swim / fifteenth / <15th> / started to buy things / started to study English],1,missing-or-empty-gloss|numeric-ordinal-form,ordinal-format-alias-review,identity-alias-review,fifteenth,pending,"Numeric ordinal spelling is a form/alias candidate, not automatically a new learning unit.",no
25th,25th,无,5年级下,1,5年级下@r37: [12th / twenty-fifth / <25th> / plant / make a poster],1,missing-or-empty-gloss|numeric-ordinal-form,ordinal-format-alias-review,identity-alias-review,twenty-fifth,pending,"Numeric ordinal spelling is a form/alias candidate, not automatically a new learning unit.",no
5th,5th,n. 第五(fifth),5年级下,1,5年级下@r31: [birthday / fifth / <5th> / tenth / 10th],1,numeric-ordinal-form,ordinal-format-alias-review,identity-alias-review,fifth,pending,"Numeric ordinal spelling is a form/alias candidate, not automatically a new learning unit.",no
a box of crayons,a box of crayons,无,5年级上,1,5年级上@r45: [a pair of scissors / pencil box / <a box of crayons> / please / only],4,missing-or-empty-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
a lot,a lot,n. 许多 adv. 常,5年级上,1,5年级上@r53: [love / how much / <a lot> / wonderful / cool],2,multi-pos-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
a lot of,a lot of,det. 许多,5年级下,1,5年级下@r15: [headache / toothache / <a lot of> / sleepy / subject],3,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
a pair of scissors,a pair of scissors,一把剪刀;一副剪刀;一双剪刀,5年级上,1,5年级上@r43: [exercise book / pencil sharpener / <a pair of scissors> / pencil box / a box of crayons],4,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
across from,across from,na. 在...的正对面,4年级下,1,4年级下@r2: [<across from> / next to / between],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
active,active,n. 主动语态;积极分子 adj. 积极的;活跃的;主动的;有效的;现役的,5年级上,1,5年级上@r9: [friendly / helpful / <active> / popular / talk],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
after school,after school,na. 放学后,3年级下,1,3年级下@r26: [desk / blackboard / <after school> / play sports / draw pictures],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
age,age,"n. 年龄;时代;寿命,使用年限;阶段 vt. 使成熟;使变老,使上年纪 vi. 成熟;变老",3年级上,1,3年级上@r11: [class / grade / <age> / dear / body],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
