MatchKey,DisplayForms,Definitions,SourceIDs,SourceBooks,OccurrenceCount,SurfaceState,IdentityResolutionStatus,MergeAuthorized
a,a,n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:1年级上,2,cross-source-exact-overlap,pending,no
afternoon,afternoon,"n. 午后,下午",beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
all,all,n. 全部 adj. 全部的 adv. 全然地;越发 pron. 全部,beijing_start1|renjiao_start1,beijing_start1:6年级下|renjiao_start1:5年级上,2,cross-source-exact-overlap,pending,no
also,also,conj. 并且;另外 adv. 也;而且;同样,beijing_start1|renjiao_start1,beijing_start1:6年级下|renjiao_start1:5年级上,2,cross-source-exact-overlap,pending,no
an,an,art. 一(在元音音素前),beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:1年级上,2,cross-source-exact-overlap,pending,no
and,and,"conj. 和,与;就;而且;但是;然后",beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:1年级下,2,cross-source-exact-overlap,pending,no
angry,angry,adj. 生气的;愤怒的;狂暴的;(伤口等)发炎的,beijing_start1|renjiao_start1,beijing_start1:6年级上|renjiao_start1:6年级上,2,cross-source-exact-overlap,pending,no
animal,animal,n. 动物 动物的,beijing_start1|renjiao_start1,beijing_start1:6年级上|renjiao_start1:5年级上,2,cross-source-exact-overlap,pending,no
apple,apple,"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",beijing_start1|renjiao_start1,beijing_start1:1年级下|beijing_start1:3年级下|renjiao_start1:1年级上|renjiao_start1:4年级上,4,cross-source-exact-overlap,pending,no
april,April,n. 四月,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
are,are,v. 是(be的第二人称单复数现在式) n. 公亩,beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:1年级上,2,cross-source-exact-overlap,pending,no
arm,arm,n. 手臂;武器;袖子;装备;部门 vt. 武装;备战 vi. 武装起来,beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
around,around,prep. 四处;在...周围 adv. 大约;到处;在附近,beijing_start1|renjiao_start1,beijing_start1:6年级上|renjiao_start1:6年级上,2,cross-source-exact-overlap,pending,no
art,art,n. 艺术;美术;艺术品 v. 是(be的变体) adj. 艺术的;艺术品的,beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
at,at,prep. 在(表示存在或出现的地点、场所、位置、空间);以(某种价格、速度等);向;达;因为;朝;忙于 n. 阿特(老挝货币基本单位att);[化]砹(极不稳定放射性元素) abbr. 密封的(airtight);气温(air temperature),beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:2年级下,2,cross-source-exact-overlap,pending,no
august,August,n. 八月(简写为Aug) adj. 威严的;令人敬畏的,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
aunt,aunt,n. 阿姨;姑妈;伯母;舅妈,beijing_start1|renjiao_start1,beijing_start1:3年级下|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
autumn,autumn,"n. 秋天;成熟期;渐衰期,凋落期 adj. 秋天的,秋季的",beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:2年级下,2,cross-source-exact-overlap,pending,no
bad,bad,"n. 坏事;坏人 adj. 坏的;严重的;劣质的 adv. 很,非常;坏地;邪恶地",beijing_start1|renjiao_start1,beijing_start1:4年级上|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
ball,ball,n. 球;舞会 vt. 捏成球形 vi. 成团块,beijing_start1|renjiao_start1,beijing_start1:1年级下|beijing_start1:3年级上|renjiao_start1:1年级下|renjiao_start1:4年级下,4,cross-source-exact-overlap,pending,no
banana,banana,n. 香蕉;喜剧演员;大鹰钩鼻,beijing_start1|renjiao_start1,beijing_start1:1年级下|beijing_start1:3年级下|renjiao_start1:1年级上,3,cross-source-exact-overlap,pending,no
basketball,basketball,n. 篮球;篮球运动,beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
bathroom,bathroom,n. 浴室;厕所;盥洗室,beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
bear,bear,"n. 熊 vt. 结果实,开花(正式) vt. 忍受;承受;具有;支撑",beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:1年级下,2,cross-source-exact-overlap,pending,no
beautiful,beautiful,adj. 美丽的 出色地 出色的 迷人的 迷人地,beijing_start1|renjiao_start1,beijing_start1:6年级下|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
bed,bed,"n. 床;基础;河底, 海底 vt. 使睡觉;安置,嵌入;栽种 vi. 上床;分层",beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:2年级下|renjiao_start1:1年级下|renjiao_start1:3年级下,4,cross-source-exact-overlap,pending,no
bee,bee,"n. 蜜蜂,蜂;勤劳的人",beijing_start1|renjiao_start1,beijing_start1:1年级上|renjiao_start1:5年级上,2,cross-source-exact-overlap,pending,no
before,before,"prep. 在...之前,先于 conj. 在...以前;在...之前 adv. 以前;在前",beijing_start1|renjiao_start1,beijing_start1:3年级下|renjiao_start1:4年级下|renjiao_start1:5年级下,3,cross-source-exact-overlap,pending,no
behind,behind,prep. 落后于;支持;晚于 n. 屁股 adv. 在后地;在原处,beijing_start1|renjiao_start1,beijing_start1:6年级下|renjiao_start1:1年级下,2,cross-source-exact-overlap,pending,no
between,between,prep. 在...之间 adv. 在中间,beijing_start1|renjiao_start1,beijing_start1:6年级下|renjiao_start1:4年级下,2,cross-source-exact-overlap,pending,no
big,big,adj. 大的;重要的;量大的 adv. 大量地;顺利;夸大地,beijing_start1|renjiao_start1,beijing_start1:2年级上|beijing_start1:2年级下|renjiao_start1:2年级上|renjiao_start1:3年级上,4,cross-source-exact-overlap,pending,no
bird,bird,n. 鸟;家伙;羽毛球 vt. 向...喝倒彩;起哄 vi. 猎鸟;观察研究野鸟,beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:3年级下|renjiao_start1:1年级上|renjiao_start1:3年级上|renjiao_start1:6年级上,5,cross-source-exact-overlap,pending,no
birthday,birthday,"n. 生日,诞辰;诞生的日子",beijing_start1|renjiao_start1,beijing_start1:5年级下|renjiao_start1:3年级上|renjiao_start1:5年级下,3,cross-source-exact-overlap,pending,no
black,black,n. 黑色;黑人;黑颜料 adj. 黑色的;黑人的;邪恶的 vt. 使变黑;把鞋油等涂在...上;把(眼眶)打成青肿 vi. 变黑,beijing_start1|renjiao_start1,beijing_start1:3年级下|renjiao_start1:1年级上,2,cross-source-exact-overlap,pending,no
