MatchKey,DisplayForms,Definitions,OccurrenceCount,Books,CandidateClass,CandidateNoteIDs,CandidateWords,CandidateSenses,AutoDecision,NeedsSenseReview
a,a,n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),1,2年级上,exact-single,KV000008,a,一；一个,reuse-candidate,yes
afternoon,afternoon,"n. 午后,下午",1,5年级上,exact-single,KV000231,afternoon,下午,reuse-candidate,yes
all,all,n. 全部 adj. 全部的 adv. 全然地;越发 pron. 全部,1,6年级下,exact-single,KV000528,all,全部；所有,reuse-candidate,yes
also,also,conj. 并且;另外 adv. 也;而且;同样,1,6年级下,exact-single,KV000561,also,也；还,reuse-candidate,yes
an,an,art. 一(在元音音素前),1,2年级下,exact-single,KV000009,an,一；一个,reuse-candidate,yes
and,and,"conj. 和,与;就;而且;但是;然后",1,2年级上,exact-single,KV000085,and,和；并且,reuse-candidate,yes
angry,angry,adj. 生气的;愤怒的;狂暴的;(伤口等)发炎的,1,6年级上,exact-single,KV000730,angry,生气的,reuse-candidate,yes
animal,animal,n. 动物 动物的,1,6年级上,exact-single,KV000542,animal,动物,reuse-candidate,yes
any,any,adj. 任何的;所有的;丝毫 pron. 任何;任何一个;若干 adv. 稍微;少许,1,3年级下,exact-single,KV000881,any,任何的；任一的,reuse-candidate,yes
apple,apple,"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",2,1年级下|3年级下,exact-single,KV000045,apple,苹果,reuse-candidate,yes
april,April,n. 四月,1,3年级上,exact-single,KV000269,April,四月,reuse-candidate,yes
are,are,v. 是(be的第二人称单复数现在式) n. 公亩,1,2年级上,exact-single,KV000037,are,是,reuse-candidate,yes
arm,arm,n. 手臂;武器;袖子;装备;部门 vt. 武装;备战 vi. 武装起来,1,2年级上,exact-single,KV000218,arm,手臂,reuse-candidate,yes
around,around,prep. 四处;在...周围 adv. 大约;到处;在附近,1,6年级上,exact-single,KV000688,around,周围；四处,reuse-candidate,yes
art,art,n. 艺术;美术;艺术品 v. 是(be的变体) adj. 艺术的;艺术品的,1,5年级上,exact-single,KV000288,art,美术；美术课,reuse-candidate,yes
