NoteID,CanonicalWord,MatchKey,SenseLabel,PrimaryOriginKey,CreatedSource,CreatedSourceBook,Status
KV000001,book,book,书；书本,rj_start1|book,rj_start1,1年级上,active
KV000002,ruler,ruler,尺子,rj_start1|ruler,rj_start1,1年级上,active
KV000003,pencil,pencil,铅笔,rj_start1|pencil,rj_start1,1年级上,active
KV000004,schoolbag,schoolbag,书包,rj_start1|schoolbag,rj_start1,1年级上,active
KV000005,teacher,teacher,老师,rj_start1|teacher,rj_start1,1年级上,active
KV000006,I,i,我,rj_start1|i,rj_start1,1年级上,active
KV000007,have,have,有,rj_start1|have,rj_start1,1年级上,active
KV000008,a,a,一；一个,rj_start1|a,rj_start1,1年级上,active
KV000009,an,an,一；一个,rj_start1|an,rj_start1,1年级上,active
KV000010,face,face,脸；面部,rj_start1|face,rj_start1,1年级上,active
KV000011,ear,ear,耳朵,rj_start1|ear,rj_start1,1年级上,active
KV000012,eye,eye,眼睛,rj_start1|eye,rj_start1,1年级上,active
KV000013,nose,nose,鼻子,rj_start1|nose,rj_start1,1年级上,active
KV000014,mouth,mouth,嘴；口,rj_start1|mouth,rj_start1,1年级上,active
KV000015,this,this,这；这个,rj_start1|this,rj_start1,1年级上,active
KV000016,is,is,是,rj_start1|is,rj_start1,1年级上,active
KV000017,my,my,我的,rj_start1|my,rj_start1,1年级上,active
KV000018,dog,dog,狗,rj_start1|dog,rj_start1,1年级上,active
KV000019,bird,bird,鸟,rj_start1|bird,rj_start1,1年级上,active
KV000020,tiger,tiger,老虎,rj_start1|tiger,rj_start1,1年级上,active
KV000021,monkey,monkey,猴子,rj_start1|monkey,rj_start1,1年级上,active
KV000022,cat,cat,猫,rj_start1|cat,rj_start1,1年级上,active
KV000023,what,what,什么,rj_start1|what,rj_start1,1年级上,active
KV000024,it,it,它,rj_start1|it,rj_start1,1年级上,active
KV000025,one,one,一；一个,rj_start1|one,rj_start1,1年级上,active
KV000026,two,two,二；两个,rj_start1|two,rj_start1,1年级上,active
KV000027,three,three,三；三个,rj_start1|three,rj_start1,1年级上,active
KV000028,four,four,四；四个,rj_start1|four,rj_start1,1年级上,active
KV000029,five,five,五；五个,rj_start1|five,rj_start1,1年级上,active
