NoteID,ExampleSentence,ExampleTranslation,Reason
KV001570,Fire can be a danger to children.,火可能对孩子构成危险。,semantic-review-target-sense-fix
KV002032,The library is to the left of the gym.,图书馆在体育馆的左边。,semantic-review-target-sense-fix
KV002208,Noon is the middle of the day.,中午是一天的中间时段。,deduplicate-example
KV002483,We visited Rome during our trip to Italy.,我们去意大利旅行时参观了罗马。,deduplicate-example
KV002496,Russia is a very large country.,俄罗斯是一个很大的国家。,deduplicate-example
KV002623,Black smoke filled the air.,黑烟弥漫在空气中。,deduplicate-example
KV002789,Thailand is in Southeast Asia.,泰国位于东南亚。,deduplicate-example
KV002791,The Bund is a famous place in Shanghai.,外滩是上海的一个著名地点。,deduplicate-example
KV002792,Families climb hills on the Double Ninth Festival.,重阳节时家人会登高。,deduplicate-example
KV002797,The high jump is one event on Sports Day.,跳高是运动会的一个项目。,deduplicate-example
KV002799,The Lantern Festival comes after Chinese New Year.,元宵节在春节之后到来。,deduplicate-example
KV002804,The Palace Museum has many old buildings.,故宫博物院有许多古老建筑。,deduplicate-example
KV002806,The sun rises in the east.,太阳从东方升起。,deduplicate-example
KV002842,Tokyo has many busy train stations.,东京有许多繁忙的火车站。,deduplicate-example
KV002865,Traffic lights control cars at the crossing.,交通信号灯在路口指挥车辆通行。,deduplicate-example
KV003015,Grandma taught me how to make zongzi.,奶奶教我怎样包粽子。,deduplicate-example
KV002597,The boxes are the same size.,这些盒子的大小相同。,Distinguish general dimensions from the separate clothing-size target KV000878.
