Category,LearningStatus,NoteID,CanonicalWord,SenseLabel,Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,SourceBooks
baseline-changed-since-v1,allowed,KV000096,socks,袜子,sock,[sɒk],[sɑːk],短袜,This sock is blue.,这只短袜是蓝色的。,rj_start1::1年级下|rj_start1::3年级上|rj_start1::klose-current::4年级上
baseline-changed-since-v1,allowed,KV000174,warm,暖和的,warm,[wɔːm],[wɔːrm],温暖的,It is warm today.,今天很暖和。,rj_start1::2年级下|rj_start1::klose-current::4年级上
baseline-changed-since-v1,allowed,KV000256,shoes,鞋,shoe,[ʃuː],[ʃuː],鞋,This shoe is black.,这只鞋是黑色的。,rj_start1::3年级上|rj_start1::klose-current::4年级下
baseline-changed-since-v1,allowed,KV000259,gloves,手套,glove,[ɡlʌv],[ɡlʌv],手套,This glove is warm.,这只手套很暖和。,rj_start1::3年级上|rj_start1::klose-current::4年级上
baseline-changed-since-v1,allowed,KV000332,everyone,每个人；大家,everyone,[ˈevriwʌn],[ˈevriwʌn],每人,Everyone is here.,每个人都在这里。,rj_start1::3年级下|rj_start1::klose-current::4年级上
baseline-changed-since-v1,allowed,KV000333,children,孩子们,child,[tʃaɪld],[tʃaɪld],儿童；小孩（复数 children）,The child is in the park.,这个小孩在公园里。,rj_start1::3年级下|rj_start1::klose-current::4年级上
baseline-changed-since-v1,allowed,KV000466,busy,忙的,busy,[ˈbɪzi],[ˈbɪzi],忙碌的,My mum is busy today.,我妈妈今天很忙。,rj_start1::4年级下|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000522,quiet,安静的；文静的,quiet,[ˈkwaɪət],[ˈkwaɪət],安静的；文静的,She is quiet in class.,她在课堂上很安静。,rj_start1::5年级上|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000524,helpful,乐于助人的；有帮助的,helpful,[ˈhelpfl],[ˈhelpfl],乐于助人的；有帮助的,He is always helpful at home.,他在家总是乐于帮忙。,rj_start1::5年级上|rj_start1::klose-current::4年级下
actual-grade4-new-release-existing-identity,allowed,KV000545,horse,马,horse,[hɔːs],[hɔːrs],马,The horse can run.,这匹马能跑。,rj_start1::5年级上|rj_start1::klose-current::4年级下
actual-grade4-new-release-existing-identity,allowed,KV000546,cow,奶牛；母牛,cow,[kaʊ],[kaʊ],奶牛；母牛,This is a cow.,这是一头奶牛。,rj_start1::5年级上|rj_start1::klose-current::4年级下
actual-grade4-new-release-existing-identity,allowed,KV000547,pig,猪,pig,[pɪɡ],[pɪɡ],猪,This is a pig.,这是一头猪。,rj_start1::5年级上|rj_start1::klose-current::4年级下
actual-grade4-new-release-existing-identity,allowed,KV000548,sheep,绵羊；羊,sheep,[ʃiːp],[ʃiːp],绵羊；羊,This is a sheep.,这是一只羊。,rj_start1::5年级上|rj_start1::klose-current::4年级下
actual-grade4-new-release-existing-identity,allowed,KV000549,bee,蜜蜂,bee,[biː],[biː],蜜蜂,A bee can fly.,蜜蜂会飞。,rj_start1::5年级上|rj_start1::klose-current::4年级下
actual-grade4-new-release-existing-identity,allowed,KV000552,why,为什么,why,[waɪ],[waɪ],为什么,Why are you here?,你为什么在这里？,rj_start1::5年级上|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000561,also,也；还,also,[ˈɔːlsəʊ],[ˈɔːlsoʊ],也；还,I also need an eraser.,我还需要一块橡皮。,rj_start1::5年级上|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000571,chore,家务；杂务,chore,[tʃɔː(r)],[tʃɔːr],家务；杂务,I do a chore every day.,我每天做一项家务。,rj_start1::5年级上|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000573,make the bed,整理床铺；铺床,make the bed,[ˌmeɪk ðə ˈbed],[ˌmeɪk ðə ˈbed],铺床,I make the bed every morning.,我每天早上整理床铺。,rj_start1::5年级上|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000583,tired,疲倦的；累的,tired,[ˈtaɪəd],[ˈtaɪərd],疲倦的；累的,I am tired.,我累了。,rj_start1::5年级下|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000588,a lot of,许多；大量,a lot of,[ə ˈlɒt əv],[ə ˈlɑːt əv],大量；许多,I have a lot of books.,我有很多书。,rj_start1::5年级下|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000615,together,一起,together,[təˈɡeðə(r)],[təˈɡeðər],一起,We play together.,我们一起玩。,rj_start1::5年级下|rj_start1::6年级下|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000672,chopsticks,筷子,chopstick,[ˈtʃɒpstɪk],[ˈtʃɑːpstɪk],（常用复数）筷子,This chopstick is on the table.,这根筷子在桌上。,rj_start1::5年级下|rj_start1::klose-current::4年级下
actual-grade4-new-release-existing-identity,allowed,KV000673,wet,湿的,wet,[wet],[wet],湿的,My shoes are wet.,我的鞋湿了。,rj_start1::5年级下|rj_start1::klose-current::4年级下
actual-grade4-new-release-existing-identity,allowed,KV000697,Sydney,悉尼,Sydney,[ˈsɪdni],[ˈsɪdni],悉尼,Sydney is a city in Australia.,悉尼是澳大利亚的一座城市。,rj_start1::6年级上|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000704,clock,时钟；钟,clock,[klɒk],[klɑːk],时钟；钟,There is a clock on the wall.,墙上有一个钟。,rj_start1::6年级上|rj_start1::klose-current::4年级下
actual-grade4-new-release-existing-identity,allowed,KV000750,story,故事,story,[ˈstɔːri],[ˈstɔːri],故事,This story is very interesting.,这个故事很有趣。,rj_start1::6年级上|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000754,fall,落下；跌倒,fall,[fɔːl],[fɔːl],落下；跌倒,Leaves fall in autumn.,树叶在秋天落下。,rj_start1::6年级上|rj_start1::klose-current::4年级上
actual-grade4-new-release-existing-identity,allowed,KV000783,idea,想法；主意,idea,[aɪˈdɪə],[aɪˈdiːə],想法；主意,That is a good idea.,那是个好主意。,rj_start1::6年级下|rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000803,office worker,公司职员,office worker,[ˈɒfɪs ˌwɜːkə(r)],[ˈɑːfɪs ˌwɜːrkər],公司职员,My mum is an office worker.,我妈妈是一名公司职员。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000804,factory worker,工厂工人,factory worker,[ˈfæktəri ˌwɜːkə(r)],[ˈfæktəri ˌwɜːrkər],工厂工人,My dad is a factory worker.,我爸爸是一名工厂工人。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000805,cook,烹饪；煮,cook,[kʊk],[kʊk],烹饪；煮,I can cook dinner for my family.,我会为家人做晚饭。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000806,clean,打扫；干净的,clean,[kliːn],[kliːn],打扫；干净的,I clean my room every week.,我每周打扫我的房间。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000807,look after,照顾,look after,[lʊk ˈɑːftə(r)],[lʊk ˈæftər],照顾,I look after my little brother.,我照顾我的弟弟。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000808,sweep,扫,sweep,[swiːp],[swiːp],扫,I sweep the floor after dinner.,晚饭后我扫地。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000809,strong,强壮的,strong,[strɒŋ],[strɔːŋ],强壮的,My brother is strong.,我哥哥很强壮。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000810,kind,友好的,kind,[kaɪnd],[kaɪnd],友好的,Our new teacher is very kind.,我们的新老师很友好。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000811,best,最好的,best,[best],[best],最好的,She is my best friend.,她是我最好的朋友。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000812,read,阅读,read,[riːd],[riːd],阅读,I read books after school.,我放学后读书。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000813,play,玩耍,play,[pleɪ],[pleɪ],玩耍,The children play in the park.,孩子们在公园里玩。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000814,game,游戏,game,[ɡeɪm],[ɡeɪm],游戏,This game is fun.,这个游戏很有趣。,rj_start1::klose-current::4年级上
