NoteID,OriginType,ReleaseState,CanonicalWord,SenseLabel,MeaningPrimary,CandidateBritish,CandidateAmerican,RiskFlags,ReviewRiskReasons
KV000142,reused-existing-stable,released,Father Christmas,圣诞老人,圣诞老人,[fˈɑːðə kɹˈɪsməs],[fˈɑːðɚ kɹˈɪsməs],multiword proper-case,proper-case
KV000146,reused-existing-stable,released,New Year,新年,新年,[njˈuː jˈiə],[nˈuː jˈɪɹ],multiword proper-case,proper-case
KV000289,reused-existing-stable,released,computer class,计算机课,计算机课,[kəmpjˈuːtə klˈas],[kəmpjˈuːɾɚ klˈæs],multiword,flap-allophone
KV000346,reused-existing-stable,released,roller skating,轮滑；滑旱冰,轮滑；滑旱冰,[ɹˈəʊlə skˈeɪtɪŋ],[ɹˈoʊlɚ skˈeɪɾɪŋ],multiword,flap-allophone
KV000358,reused-existing-stable,released,play computer games,玩电脑游戏,玩电脑游戏,[plˈeɪ kəmpjˈuːtə ɡˈeɪmz],[plˈeɪ kəmpjˈuːɾɚ ɡˈeɪmz],multiword,flap-allophone
KV000406,reused-existing-stable,released,Information Centre,信息中心,信息中心,[ˌɪnfəmˈeɪʃən sˈɛntə],[ˌɪnfɚmˈeɪʃən sˈɛntɚ],multiword proper-case,proper-case
KV000465,reused-existing-stable,released,go boating,去划船,去划船,[ɡˌəʊ bˈəʊtɪŋ],[ɡˌoʊ bˈoʊɾɪŋ],multiword,flap-allophone
KV000474,reused-existing-stable,released,take photos,拍照,拍照,[tˈeɪk fˈəʊtəʊz],[tˈeɪk fˈoʊɾoʊz],multiword,flap-allophone
KV000480,reused-existing-stable,released,visit the Mogao Caves,参观莫高窟,参观莫高窟,[vˈɪzɪt ðə mˈɒɡaʊ kˈeɪvz],[vˈɪzɪt ðə mˈɑːɡaʊ kˈeɪvz],multiword proper-case,proper-case
KV000481,reused-existing-stable,released,West Lake,西湖,西湖,[wˈɛst lˈeɪk],[wˈɛst lˈeɪk],multiword proper-case,proper-case
KV000499,reused-existing-stable,released,go skating,去滑冰,去滑冰,[ɡˌəʊ skˈeɪtɪŋ],[ɡˌoʊ skˈeɪɾɪŋ],multiword,flap-allophone
